comment,replies,date,user_name
The reaction to “gumption” 5 min has me dying,[],2024-06-19T22:50:52Z,@cwalker6911
Women have always worked just as much (if not more) than men and girlboss is just another way to gaslight women into thinking doing more is exciting and joyous and something that will make them stand out and not at all more for your already overfilled plate,[],2024-04-22T18:33:50Z,@BigRed1595044
If women allowed men to be househusbands without cheating on them and if they allowed men to work with children this wouldn’t be a problem. Another thing that is open to debate is that women want to spend more time with her children.,[],2024-04-20T05:25:51Z,@middletech
"The issue with it is when ""girlboss"" is synonymous with feminism. It's not feminist to subvert other women for your benefit",[],2023-08-31T16:25:32Z,@cherrydayz
Thought-provoking 💭,[],2022-12-12T00:25:01Z,@jocelina
Sincerely girl boss isnt for everyone that dont mean women who want to be girl bosses shouldn't aspire to be one,[],2022-12-06T21:01:48Z,@thepriscila7278
God I hate Devil Wears Prada. I get that girlboss is a problem but it felt like the film framed it as - men be right tho women need to be women,[],2022-10-12T21:39:43Z,@SplatterInker
"omg you are here, I love it.",[],2022-05-26T03:58:44Z,@LuanaSantos-rl4sb
"The thing about having it all. Is it's hard to keep it all.

My mom worked 3 different careers as my father worked construction and steel work. As she worked as a nurse and security guard while being a mom.

The truth was as my parents aged they worked hard to make sure to be there with with family as much as their work. Now that their older they worry they didn't do as much with us.

And now that my mom has stopped working she revels in having free time",[],2022-01-28T15:00:03Z,@halleyangel1706
"Great to find this. Been binging Lindsay Ellis's videos lately, and she keeps referring back, in recent videos, to this idea of the ""girlboss"" but here I can actually see her address the topic head on.",[],2022-01-08T13:26:17Z,@gentlerat
"Life’s hard, then you die.",[],2022-01-01T18:46:06Z,@Meandros81
"Women are less willing to sacrifice personal life and more prone to whining, that's why they get fewer promotions. Deal with it, ladies.",[],2021-11-07T23:16:15Z,@MsClepsydra
Kind of off topic but how did I never realize  Miranda Priestlys' husband is Nate Archibalds grandfather?,[],2021-10-08T12:28:44Z,@sarahdiehl9156
"Was it me or Andy NEVER wanted to pursue a career in fashion journalism at all, even with the time she spent with Miranda?",[],2021-09-03T08:18:27Z,@DrGregoryHouseIT
"i think ""girlboss"" feminism is more respectable than making videos about disney movies and e-begging lol",[],2021-07-16T11:06:14Z,@HatsuneMiku-pu2kf
You're much kinder in the #girlboss criticism than most I've seen. I guess the problem is how they self promote as feminist ideals.,[],2021-06-01T04:24:25Z,@Boahemaa
This is such a great video-- literally took the words right out of my mouth. THANK YOU!,[],2021-05-22T22:10:33Z,@HelloHello76543
"The truth is, my felőlem bosses was all horrible, especially in communication.",[],2021-03-14T06:26:12Z,@ridita5221
Correct... I need to be the charismatic stern and power man male figure AND the kind giggly sweet woman figure. I recently had someone tell me I should try smiling with my eyes to come across more friendly :),[],2021-03-07T03:20:14Z,@cutieprincess431
So eloquent,[],2021-01-30T03:21:27Z,@abc-ei3ik
"I really do not like the 'Sis"" gendered term",[],2020-11-08T07:54:21Z,@biggmonie
"I WANT a family. I’m getting it. I want kids, a husband; I am ready to submit and be submitted to. I spent years being too afraid to go for it because I was convinced I would be a loser if I didn’t subscribe to a noticeable degree to the “hustler”/“gurlboss” lifestyle. I’m done. I can work AND have a family. I fell for it; I spent years hiding from my true dreams. I was deceived. I couldn’t figure out why I was sooo unhappy. I’m so glad I got over my socially induced psychosis!",[],2020-10-30T14:44:00Z,@KrispyKrunchee
i love what you said about Molly on insecure,[],2020-10-23T19:47:12Z,@angie7486
Why should somebody pay you to take care of YOUR children and to clean YOUR mess?,[],2020-08-08T13:25:40Z,@Bloombaby99
I hate even hearing the word “girlboss” but I’ll listen to Lindsay explain basically anything,[],2020-07-22T11:10:39Z,@Bee-nw6df
Lmao imagine living in a country where child care isn't an equal responsibility between parents. Whack,[],2020-07-21T10:49:59Z,@KreeZafi
I knew I loved Living Single for a reason. I have such a new perspective on the show after watching this. Thank you!,[],2020-07-15T17:47:46Z,@MorganThomasatgoogle
"I’d rather be seen as the bitchy boss and man eater than being pinned down & oppressed by a misogynistic husband strangled with two kids. Honestly, I don’t think working women are bitchy, nor stay at home mothers are unhappy. But, if these were the only two choices (as most media claims) I know which I’d rather have.",[],2020-07-14T21:40:28Z,@kiterafrey
5:45 EXACTLY I'LL TATTOO THIS ON MY FOREHEAD,[],2020-07-09T20:19:34Z,@JazzyCast
"Do you notice that basically all negative behaviour towards women comes from another women, and the men that think they have to comply...",[],2020-07-06T11:00:19Z,@pyroslavx7922
Also I find the term sexist not empowering... It should just be boss? 🤔,[],2020-03-29T13:57:38Z,@Silvercentipede
"If you type this or ""entrepreneur"" into Instagram I literally promise you it's just selfies",['Or MLM product pitches or booty picks that have weirdly prose captions for no reason.'],2020-03-29T13:56:51Z,@Silvercentipede
